Date,Price,Open,High,Low,Vol.,Change %,SMA_7,SMA_30,RSI_14,Vol_30
2017-11-03,7152.1,7024.8,7445.6,6938.9,154890.0,1.81,6480.614285714285,5649.023333333333,73.04724785196363,3.5591240204722596
2017-11-04,7363.8,7147.0,7492.2,6957.8,106600.0,2.96,6714.5,5750.4366666666665,75.01658924977873,3.563435656520277
2017-11-05,7389.5,7363.8,7599.4,7284.3,105730.0,0.35,6891.928571428572,5851.0233333333335,75.90805275139518,3.5719846217376428
2017-11-06,6959.2,7389.5,7429.7,6934.7,159690.0,-5.82,7011.199999999999,5935.136666666667,67.21685803727132,3.8352239365749354
2017-11-07,7102.8,6959.3,7222.4,6957.8,101050.0,2.06,7104.285714285715,6018.173333333334,78.1991698296751,3.809991160577324
2017-11-08,7444.4,7102.2,7869.1,7027.0,220220.0,4.81,7205.228571428571,6107.070000000001,79.09437300091606,3.83926082445047
2017-11-09,7129.6,7444.4,7457.1,7040.8,126770.0,-4.23,7220.2,6185.943333333334,70.02838160324441,3.969722550309526
2017-11-10,6565.8,7129.6,7319.0,6406.0,222000.0,-7.91,7136.442857142858,6243.996666666667,61.31191054361034,4.320638043558783
2017-11-11,6339.9,6565.8,6821.5,6197.9,135720.0,-3.44,6990.171428571428,6274.24,58.22272276276643,3.812956270040423
2017-11-12,5878.1,6339.9,6490.5,5493.6,269830.0,-7.28,6774.257142857144,6282.266666666666,46.42724523880697,4.022816592057428
2017-11-13,6522.5,5878.1,6760.1,5828.3,178340.0,10.96,6711.8714285714295,6305.526666666667,54.53386163848352,4.445314581009665
2017-11-14,6597.1,6522.5,6728.6,6419.2,96500.0,1.14,6639.628571428571,6335.826666666667,51.76246043808445,4.414677986460296
2017-11-15,7283.2,6597.1,7330.1,6596.9,131120.0,10.4,6616.599999999999,6386.623333333334,56.00846075865154,4.764162624978347
2017-11-16,7853.7,7283.0,7964.6,7119.2,133940.0,7.83,6720.042857142857,6461.793333333333,58.59480309391752,4.87427052013401
2017-11-17,7700.0,7853.7,8000.2,7534.7,117350.0,-1.96,6882.071428571428,6532.6,55.650201092960884,4.900594955670119
2017-11-18,7780.9,7700.0,7857.5,7458.9,74380.0,1.05,7087.928571428572,6602.009999999999,54.42058630248597,4.896969787883877
2017-11-19,8042.6,7781.0,8100.9,7675.4,68620.0,3.36,7397.142857142857,6670.326666666666,56.5920423116474,4.8568207873997915
2017-11-20,8244.7,8042.6,8294.1,7947.3,75700.0,2.51,7643.171428571428,6744.930000000001,63.601735265920986,4.860612621621934
2017-11-21,8100.0,8245.9,8368.4,7819.1,115450.0,-1.76,7857.871428571429,6815.5,60.54880886877509,4.882090481675197
2017-11-22,8234.5,8099.9,8304.4,8091.6,65810.0,1.66,7993.771428571429,6893.196666666668,58.74101117362046,4.8608277167529
2017-11-23,8013.4,8234.5,8266.5,8012.4,68010.0,-2.69,8016.585714285714,6976.54,59.984635545926196,4.692066476094637
2017-11-24,8200.8,8013.4,8332.9,7900.2,73000.0,2.34,8088.1285714285705,7058.766666666666,70.18817602583526,4.66937797673891
2017-11-25,8754.7,8203.5,8762.0,8153.7,84670.0,6.75,8227.242857142857,7154.336666666667,77.5825832683588,4.7688325277954675
2017-11-26,9318.4,8754.6,9474.6,8746.6,85890.0,6.44,8409.5,7272.796666666666,88.40220570150744,4.805340527601148
2017-11-27,9733.2,9318.4,9733.6,9316.8,106900.0,4.45,8622.142857142857,7406.35,87.7756076896654,4.808523562443455
2017-11-28,9906.0,9732.6,9969.6,9638.2,87760.0,1.78,8880.142857142857,7531.633333333333,88.0517031207634,4.696802054614295
2017-11-29,9837.9,9906.0,11417.8,8938.7,233330.0,-0.69,9109.2,7655.42,84.2462264400709,4.70189172005541
2017-11-30,9946.8,9848.0,10689.1,9023.8,187010.0,1.11,9385.4,7771.94,82.02123428046741,4.652049220937174
2017-12-01,10861.5,9947.1,10942.8,9420.9,131920.0,9.2,9765.5,7909.3966666666665,89.23138014016098,4.831506333254159
2017-12-02,10912.7,10861.5,11175.2,10715.5,86830.0,0.47,10073.785714285714,8038.993333333333,89.15141514120207,4.812176891676031
2017-12-03,11246.2,10912.7,11851.1,10578.4,122130.0,3.06,10349.185714285715,8175.463333333334,89.34273222939261,4.81956535694706
2017-12-04,11623.9,11244.2,11624.6,10917.8,93170.0,3.36,10619.285714285714,8317.466666666667,89.78337650076358,4.823922058137724
2017-12-05,11667.1,11624.4,11901.9,11486.1,89690.0,0.37,10870.871428571429,8460.053333333333,93.02376070406407,4.823738486744999
2017-12-06,13749.6,11667.1,13843.2,11661.8,191580.0,17.85,11429.685714285715,8686.4,95.25395913656624,5.455199565446689
2017-12-07,16850.3,13750.1,16879.3,13401.6,297110.0,22.55,12415.9,9011.316666666668,99.24106496067252,6.574672134651284
2017-12-08,16047.6,16868.0,17294.8,13906.1,286760.0,-4.76,13156.77142857143,9298.09,90.91819281618697,6.720217532056539
2017-12-09,14843.4,16048.2,16313.2,13151.5,181980.0,-7.5,13718.300000000001,9555.216666666667,79.73375526178945,6.863128915133847
2017-12-10,15059.6,14840.0,15783.2,13031.0,201620.0,1.46,14263.07142857143,9838.343333333332,79.021756712926,6.571178413886326
2017-12-11,16732.5,15060.5,17399.2,15024.6,159730.0,11.11,14992.871428571429,10184.763333333332,81.38896612333156,6.616211898439818
2017-12-12,17083.9,16733.3,17560.7,16254.5,132850.0,2.1,15766.699999999999,10558.29,81.68239479505084,6.304189129040451
2017-12-13,16286.8,17083.9,17268.0,15669.9,155410.0,-4.67,16129.157142857144,10883.766666666666,76.74360739484656,6.337684736249597
2017-12-14,16467.9,16286.8,16941.1,16023.6,107920.0,1.11,16074.528571428571,11212.793333333335,76.88204400977185,6.338035964323383
2017-12-15,17604.8,16467.9,17987.0,16442.2,153650.0,6.9,16296.985714285713,11556.846666666668,77.29793624953793,6.233741049423174
2017-12-16,19345.5,17594.1,19587.7,17318.5,112170.0,9.89,16940.14285714286,11939.906666666668,80.02962794134802,6.297975089652564
2017-12-17,19065.7,19346.6,19870.6,18750.9,117410.0,-1.45,17512.442857142854,12318.763333333334,77.95254198503683,6.284160566295842
2017-12-18,18972.3,19065.7,19221.1,18114.4,139250.0,-0.49,17832.414285714287,12691.81,76.81349797113907,6.3089529160194955
2017-12-19,17523.7,18971.2,19022.0,16812.8,174540.0,-7.64,17895.242857142857,13007.846666666668,69.382189804148,6.611375741508077
2017-12-20,16462.0,17521.7,17813.6,15642.7,227680.0,-6.06,17920.27142857143,13281.756666666666,59.62704260538958,6.807790204703987
2017-12-21,15632.1,16461.1,17301.8,14953.0,163740.0,-5.04,17800.87142857143,13532.826666666666,44.84538699789891,6.904903147131287
2017-12-22,13665.0,15632.1,15823.7,10875.7,466980.0,-12.58,17238.042857142857,13713.843333333332,40.82274092900613,7.429362381947595
2017-12-23,14396.5,13665.0,15493.2,13356.1,170170.0,5.35,16531.042857142857,13926.613333333335,48.21358617872333,7.400884701697175
2017-12-24,13790.0,14396.6,14413.7,12166.5,182420.0,-4.21,15777.371428571429,14112.92,45.0785356549834,7.493432496173688
2017-12-25,13833.5,13790.0,14467.4,13010.7,107480.0,0.32,15043.257142857143,14282.213333333335,37.13750754263657,7.4449020511839725
2017-12-26,15756.6,13830.2,16094.7,13748.5,143140.0,13.9,14790.814285714287,14496.82,44.831748553401425,7.724792635687187
2017-12-27,15416.6,15757.0,16514.6,14534.7,138710.0,-2.16,14641.471428571429,14686.266666666666,46.48653886523921,7.747964686393995
2017-12-28,14398.7,15416.3,15505.5,13466.1,170370.0,-6.6,14465.271428571428,14836.023333333334,42.174333993873915,7.899092221960299
2017-12-29,14392.6,14398.5,15109.8,13951.1,118880.0,-0.04,14569.214285714286,14987.846666666668,36.71524756401976,7.893648465187263
2017-12-30,12531.5,14392.1,14461.5,11962.1,182070.0,-12.93,14302.785714285714,15074.003333333332,22.097099146589798,8.325844135864655
2017-12-31,13850.4,12532.4,14241.8,12359.4,111270.0,10.52,14311.414285714285,15173.633333333333,30.31858286849686,8.373501917824782
2018-01-01,13444.9,13850.5,13921.5,12877.7,78430.0,-2.93,14255.9,15258.04,29.620835606912664,8.405824943960287
2018-01-02,14754.1,13444.9,15306.1,12934.2,137730.0,9.74,14112.685714285715,15374.970000000001,39.6826106392076,8.548812520885026
2018-01-03,15156.6,14754.1,15435.0,14579.7,106540.0,2.73,14075.542857142858,15492.726666666666,44.88591845044752,8.544220631918147
2018-01-04,15180.1,15156.5,15408.7,14244.7,110970.0,0.15,14187.17142857143,15609.826666666668,48.10979893607829,8.545076797271255
2018-01-05,16954.8,15180.1,17126.9,14832.4,141960.0,11.69,14553.199999999999,15716.666666666666,63.98248894926081,8.198694485365767
2018-01-06,17172.3,16954.8,17252.8,16286.6,83930.0,1.28,15216.171428571428,15727.4,62.33688888881131,7.12108790765182
2018-01-07,16228.2,17174.5,17184.8,15791.1,79010.0,-5.5,15555.857142857143,15733.420000000002,60.520729055123816,7.14049746327157
2018-01-08,14976.2,16228.3,16302.9,13902.3,142450.0,-7.71,15774.614285714286,15737.846666666668,54.465032314473746,7.1484875339464455
2018-01-09,14778.5,14976.2,15324.6,14613.4,71400.0,-1.32,15778.100000000002,15728.476666666667,45.58248349240444,7.150610487561662
2018-01-10,15043.0,14778.5,15045.4,13613.1,87070.0,1.79,15761.871428571429,15672.160000000002,48.30107683346586,6.8558425792358735
